Target Name, Instrument Mode, Hours on Mode, Program ID, Program PIs, Program Title
V-FZ-TAU,MIRI Medium Resolution Spectroscopy,2.26,1549.0,PI: Klaus Pontoppidan,The Deepest Search for Rare Molecules and Isotopologues in Planet-forming Disks
223-ROSA,MIRI Medium Resolution Spectroscopy,2.14,1549.0,PI: Klaus Pontoppidan,The Deepest Search for Rare Molecules and Isotopologues in Planet-forming Disks
V-TW-CHA,MIRI Medium Resolution Spectroscopy,3.56,1549.0,PI: Klaus Pontoppidan,The Deepest Search for Rare Molecules and Isotopologues in Planet-forming Disks
V-VZ-CHA,MIRI Medium Resolution Spectroscopy,3.08,1549.0,PI: Klaus Pontoppidan,The Deepest Search for Rare Molecules and Isotopologues in Planet-forming Disks
526-JENA,MIRI Medium Resolution Spectroscopy,2.14,1549.0,PI: Klaus Pontoppidan,The Deepest Search for Rare Molecules and Isotopologues in Planet-forming Disks
RCMA,MIRI Medium Resolution Spectroscopy,12.78,1556.0,PI: Drake Deming,A Time Series Calibration of Medium Resolution Spectroscopy with MIRI
-BET-PIC,NIRSpec IFU Spectroscopy,3.56,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
-BET-PIC,NIRISS Aperture Masking Interferometry,2.61,2297.0,PI: Tomas Stolker,Unveiling Formation Signatures in the Atmosphere of beta Pictoris c
-ALF-PIC-PSF-CALIBRATOR,NIRSpec IFU Spectroscopy,3.30,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
HD-32297,NIRSpec IFU Spectroscopy,2.26,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
HD-31411-PSF-CALIBRATOR,NIRSpec IFU Spectroscopy,1.94,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
HD-181327,NIRSpec IFU Spectroscopy,6.16,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
-IOT-MIC-PSF-CALIBRATOR,NIRSpec IFU Spectroscopy,5.93,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
-49-CET,NIRSpec IFU Spectroscopy,3.79,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
-49-CET,NIRCam Coronagraphic Imaging,1.67,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
-49-CET,NIRCam Coronagraphic Imaging,1.36,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
-RHO-CET-PSF-CALIBRATOR,NIRSpec IFU Spectroscopy,3.51,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
-RHO-CET-PSF-CALIBRATOR,NIRCam Coronagraphic Imaging,1.39,1563.0,PI: Christine Chen,Icy Kuiper Belts in Exoplanetary Systems
HT-LUP,MIRI Medium Resolution Spectroscopy,1.77,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
RU-LUP,MIRI Medium Resolution Spectroscopy,1.31,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
SZ-114,MIRI Medium Resolution Spectroscopy,1.77,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
SZ-129,MIRI Medium Resolution Spectroscopy,2.05,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
MY-LUP,MIRI Medium Resolution Spectroscopy,1.45,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
HD-142666,MIRI Medium Resolution Spectroscopy,1.20,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
HD-143006,MIRI Medium Resolution Spectroscopy,1.66,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
AS-205-N,MIRI Medium Resolution Spectroscopy,1.58,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
SR-4,MIRI Medium Resolution Spectroscopy,1.54,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
ELIAS-2-20,MIRI Medium Resolution Spectroscopy,1.54,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
DOAR-25,MIRI Medium Resolution Spectroscopy,1.55,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
DOAR-25,MIRI Medium Resolution Spectroscopy,1.96,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
ELIA-2-24,MIRI Medium Resolution Spectroscopy,1.35,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
ELIA-2-27,MIRI Medium Resolution Spectroscopy,1.57,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
DOAR-33,MIRI Medium Resolution Spectroscopy,2.97,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
WSB-52,MIRI Medium Resolution Spectroscopy,1.23,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
AS-209,MIRI Medium Resolution Spectroscopy,1.28,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
HD-163296,MIRI Medium Resolution Spectroscopy,1.62,1584.0,PI: Colette Salyk Co-PI: Klaus Pontoppidan,A DSHARP-MIRI Treasury Survey of Chemistry in Planet-forming Regions
HD-163296,MIRI Medium Resolution Spectroscopy,3.34,2025.0,PI: Karin Oberg,The Chemistry of Planet Formation: A JWST-ALMA Survey of 4 Planet-Forming Disks
HD-163296,MIRI Coronagraphic Imaging,6.91,2153.0,PI: Gabriele Cugno Co-PI: Richard Teague,Detecting a Young 2 Jupiter Mass Planet Embedded in the Disk of HD 163296
HD-163296,NIRCam Coronagraphic Imaging,4.19,2540.0,PI: Luca Ricci,Investigating the Disk-Planet Interaction in the HD 163296 System with JWST
HD-163296,NIRCam Coronagraphic Imaging,3.80,2540.0,PI: Luca Ricci,Investigating the Disk-Planet Interaction in the HD 163296 System with JWST
HD-163296,NIRCam Coronagraphic Imaging,4.00,2540.0,PI: Luca Ricci,Investigating the Disk-Planet Interaction in the HD 163296 System with JWST
HD-163296,NIRCam Coronagraphic Imaging,3.72,2540.0,PI: Luca Ricci,Investigating the Disk-Planet Interaction in the HD 163296 System with JWST
EPS-MUS-OFFSET,MIRI Coronagraphic Imaging,7.34,1618.0,PI: Charles Beichman Co-PI: Dimitri Mawet,Searching Our Closest Stellar Neighbor for Planets and Zodiacal Emission
EPS-MUS-OFFSET,MIRI Coronagraphic Imaging,7.10,1618.0,PI: Charles Beichman Co-PI: Dimitri Mawet,Searching Our Closest Stellar Neighbor for Planets and Zodiacal Emission
EPS-MUS-OFFSET,MIRI Coronagraphic Imaging,1.76,1618.0,PI: Charles Beichman Co-PI: Dimitri Mawet,Searching Our Closest Stellar Neighbor for Planets and Zodiacal Emission
EPS-MUS-OFFSET,MIRI Coronagraphic Imaging,1.79,1618.0,PI: Charles Beichman Co-PI: Dimitri Mawet,Searching Our Closest Stellar Neighbor for Planets and Zodiacal Emission
ALPHACENOFFSET,MIRI Coronagraphic Imaging,3.57,1618.0,PI: Charles Beichman Co-PI: Dimitri Mawet,Searching Our Closest Stellar Neighbor for Planets and Zodiacal Emission
ALPHACENOFFSET,MIRI Coronagraphic Imaging,3.19,1618.0,PI: Charles Beichman Co-PI: Dimitri Mawet,Searching Our Closest Stellar Neighbor for Planets and Zodiacal Emission
HD-189733,MIRI Medium Resolution Spectroscopy,7.75,1633.0,PI: Drake Deming,A Deep Molecular Survey of HD 189733b
HD-189733,MIRI Medium Resolution Spectroscopy,7.75,1633.0,PI: Drake Deming,A Deep Molecular Survey of HD 189733b
HD-189733,MIRI Medium Resolution Spectroscopy,7.75,1633.0,PI: Drake Deming,A Deep Molecular Survey of HD 189733b
HD-189733,NIRCam Grism Time Series,7.80,1633.0,PI: Drake Deming,A Deep Molecular Survey of HD 189733b
HD-189733,NIRCam Grism Time Series,7.84,1633.0,PI: Drake Deming,A Deep Molecular Survey of HD 189733b
V-GK-TAU,MIRI Medium Resolution Spectroscopy,1.66,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
V-GO-TAU,MIRI Medium Resolution Spectroscopy,3.76,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
V-HP-TAU,MIRI Medium Resolution Spectroscopy,4.66,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
V-IQ-TAU,MIRI Medium Resolution Spectroscopy,1.57,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
V-CI-TAU,MIRI Medium Resolution Spectroscopy,1.36,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
IRAS-04385,MIRI Medium Resolution Spectroscopy,1.25,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
GQ-LUP,MIRI Medium Resolution Spectroscopy,1.34,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
V-RY-LUP,MIRI Medium Resolution Spectroscopy,1.57,1640.0,PI: Andrea Banzatti,The Infrared Water Spectrum as a Tracer of Pebble Delivery to Rocky Planets
WD0145+234,NIRSpec Bright Object Time Series,2.12,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
WD0145+234,MIRI Medium Resolution Spectroscopy,1.97,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
WD0145+234,NIRSpec Bright Object Time Series,2.12,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
WD0145+234,NIRSpec Bright Object Time Series,2.12,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
WD0145+234,NIRSpec Bright Object Time Series,2.12,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
WD0145+234,NIRSpec Bright Object Time Series,2.12,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
WD0145+234,NIRSpec Bright Object Time Series,2.12,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
WD0145+234,MIRI Medium Resolution Spectroscopy,1.97,1647.0,PI: Andrew Swan,Caught in the Act: A Debris Disc in Outburst
HD-107146,MIRI Coronagraphic Imaging,1.53,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
HD-107146,MIRI Coronagraphic Imaging,1.23,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
PSF-HD107146,MIRI Coronagraphic Imaging,0.85,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
HD-92945,MIRI Coronagraphic Imaging,1.52,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
HD-92945,MIRI Coronagraphic Imaging,1.23,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
PSF-HD92945,MIRI Coronagraphic Imaging,0.83,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
HD-206893,MIRI Coronagraphic Imaging,1.53,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
HD-206893,MIRI Coronagraphic Imaging,1.23,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
HD-206893,NIRISS Aperture Masking Interferometry,1.44,1843.0,PI: Jens Kammerer Co-PI: Tomas Stolker,Cloud Composition and Origin of the Reddest Known Sub-stellar Companion HD 206893 B
PSF-HD206893,MIRI Coronagraphic Imaging,0.84,1668.0,PI: Sebastian Marino,Searching for Low Mass Planets in Debris Disk Gaps
UX-TAU-A,MIRI Medium Resolution Spectroscopy,1.26,1676.0,PI: Catherine Espaillat,EUV vs. X-ray Photoevaporation of Protoplanetary Disks
